,Year,EVTYPE,State_Code,Property_Damage,Crop_Damage,Fatalities,Injuries,Total_Damage,Weather_Type,State_Name_Upper,State_Name_Lower
1,2001,COASTAL FLOODING,AL,5,0,0,0,5,FLOODS,ALABAMA,Alabama
2,2001,EXTREME COLD,AL,0,0,2,0,0,COLD WEATHER,ALABAMA,Alabama
3,2001,FLASH FLOOD,AL,3486,252,4,1,3738,FLOODS,ALABAMA,Alabama
4,2001,FLOOD,AL,850,0,0,0,850,FLOODS,ALABAMA,Alabama
5,2001,HAIL,AL,535,42,0,0,577,RAIN/HAIL,ALABAMA,Alabama
6,2001,HEAVY SNOW,AL,0.3,0,0,0,0.3,SNOW/ICE,ALABAMA,Alabama
7,2001,HIGH WIND,AL,594,0,0,0,594,SURGE/SURF,ALABAMA,Alabama
8,2001,ICE STORM,AL,524.81,0,0,0,524.81,SNOW/ICE,ALABAMA,Alabama
9,2001,LIGHTNING,AL,635,0,0,1,635,LIGHTNING,ALABAMA,Alabama
10,2001,STRONG WIND,AL,143.5,0,0,0,143.5,WIND,ALABAMA,Alabama
11,2001,THUNDERSTORM WIND,AL,2186,0,0,1,2186,STORMS,ALABAMA,Alabama
12,2001,THUNDERSTORM WINDS,AL,55.5,0,0,0,55.5,STORMS,ALABAMA,Alabama
13,2001,TORNADO,AL,10774.78,25,19,295,10799.78,TORNADO,ALABAMA,Alabama
14,2001,TSTM WIND,AL,3319.5,34,0,3,3353.5,STORMS,ALABAMA,Alabama
15,2001,WINTER STORM,AL,916,38,2,2,954,COLD WEATHER,ALABAMA,Alabama
16,2002,EXTREME COLD,AL,0,0,2,0,0,COLD WEATHER,ALABAMA,Alabama
17,2002,FLASH FLOOD,AL,500,0,1,0,500,FLOODS,ALABAMA,Alabama
18,2002,FLASH FLOODING,AL,155,55,0,0,210,FLOODS,ALABAMA,Alabama
19,2002,FLOOD,AL,93,0,0,0,93,FLOODS,ALABAMA,Alabama
20,2002,FREEZING RAIN,AL,10,0,0,0,10,RAIN/HAIL,ALABAMA,Alabama
21,2002,HAIL,AL,148,0,0,0,148,RAIN/HAIL,ALABAMA,Alabama
22,2002,HEAVY RAIN,AL,0,0,0,4,0,RAIN/HAIL,ALABAMA,Alabama
23,2002,HEAVY RAINS,AL,500,0,0,0,500,RAIN/HAIL,ALABAMA,Alabama
24,2002,HIGH WIND,AL,181,0,0,0,181,SURGE/SURF,ALABAMA,Alabama
25,2002,ICE STORM/FLASH FLOOD,AL,0,0,0,2,0,SNOW/ICE,ALABAMA,Alabama
26,2002,LIGHTNING,AL,583,0,0,3,583,LIGHTNING,ALABAMA,Alabama
27,2002,STRONG WIND,AL,47,0,0,0,47,WIND,ALABAMA,Alabama
28,2002,THUNDERSTORM WIND,AL,2530.45,0,0,10,2530.45,STORMS,ALABAMA,Alabama
29,2002,THUNDERSTORM WINDS,AL,21,0.5,0,2,21.5,STORMS,ALABAMA,Alabama
30,2002,TORNADO,AL,10559.38,7.5,20,524,10566.88,TORNADO,ALABAMA,Alabama
31,2002,TSTM WIND,AL,6769.5,12,1,126,6781.5,STORMS,ALABAMA,Alabama
32,2002,WINTER STORM,AL,847,0,0,0,847,COLD WEATHER,ALABAMA,Alabama
33,2002,WINTER WEATHER,AL,10,0,0,0,10,COLD WEATHER,ALABAMA,Alabama
34,2003,COASTAL FLOODING,AL,20,0,0,0,20,FLOODS,ALABAMA,Alabama
35,2003,DENSE FOG,AL,900,0,1,71,900,FOG,ALABAMA,Alabama
36,2003,EXTREME COLD,AL,0,52,1,0,52,COLD WEATHER,ALABAMA,Alabama
37,2003,FLASH FLOOD,AL,3446,100,5,1,3546,FLOODS,ALABAMA,Alabama
38,2003,FLOOD,AL,2994.5,0,0,0,2994.5,FLOODS,ALABAMA,Alabama
39,2003,FLOODING,AL,500,500,0,0,1000,FLOODS,ALABAMA,Alabama
40,2003,HAIL,AL,3517,209,0,0,3726,RAIN/HAIL,ALABAMA,Alabama
41,2003,HEAVY RAIN,AL,80,0,1,0,80,RAIN/HAIL,ALABAMA,Alabama
42,2003,HIGH WIND,AL,19,0,1,1,19,SURGE/SURF,ALABAMA,Alabama
43,2003,LANDSLIDE,AL,100,0,0,0,100,LAND SLIDES,ALABAMA,Alabama
44,2003,LIGHTNING,AL,1415.5,0,1,7,1415.5,LIGHTNING,ALABAMA,Alabama
45,2003,LIGHTNING AND HEAVY RAIN,AL,28,0,0,0,28,RAIN/HAIL,ALABAMA,Alabama
46,2003,LIGHTNING/HEAVY RAIN,AL,5,0,0,0,5,RAIN/HAIL,ALABAMA,Alabama
47,2003,STRONG WIND,AL,403,0,0,3,403,WIND,ALABAMA,Alabama
48,2003,THUNDERSTORM WIND,AL,1178.75,0,0,1,1178.75,STORMS,ALABAMA,Alabama
49,2003,THUNDERSTORM WINDS,AL,2631,105,0,8,2736,STORMS,ALABAMA,Alabama
50,2003,TORNADO,AL,24663.96,464.5,63,799,25128.46,TORNADO,ALABAMA,Alabama
51,2003,TSTM WIND,AL,6576.5,88,4,39,6664.5,STORMS,ALABAMA,Alabama
52,2003,TSTM WIND/HAIL,AL,6,2,0,0,8,RAIN/HAIL,ALABAMA,Alabama
53,2003,WILDFIRE,AL,3,0,0,0,3,HOT/DRY WEATHER,ALABAMA,Alabama
54,2003,WINTER STORM,AL,5,0,4,0,5,COLD WEATHER,ALABAMA,Alabama
55,2004,FLASH FLOOD,AL,2626,0,1,0,2626,FLOODS,ALABAMA,Alabama
56,2004,FLOOD,AL,172,275,0,0,447,FLOODS,ALABAMA,Alabama
57,2004,HAIL,AL,5543.25,379,0,1,5922.25,RAIN/HAIL,ALABAMA,Alabama
58,2004,HEAVY RAIN/LIGHTNING,AL,5,0,0,0,5,RAIN/HAIL,ALABAMA,Alabama
59,2004,HIGH WIND,AL,2015,0,1,0,2015,SURGE/SURF,ALABAMA,Alabama
60,2004,LIGHTNING,AL,3262.5,0,0,5,3262.5,LIGHTNING,ALABAMA,Alabama
61,2004,RIP CURRENT,AL,0,0,3,0,0,SURGE/SURF,ALABAMA,Alabama
62,2004,RIP CURRENTS,AL,0,0,1,0,0,SURGE/SURF,ALABAMA,Alabama
63,2004,STRONG WIND,AL,1056.6,0,0,3,1056.6,WIND,ALABAMA,Alabama
64,2004,THUNDERSTORM WIND,AL,5119.05,1,3,17,5120.05,STORMS,ALABAMA,Alabama
65,2004,THUNDERSTORM WINDS,AL,2028.5,0,0,6,2028.5,STORMS,ALABAMA,Alabama
66,2004,THUNDERSTORM WINDS/HAIL,AL,5,0,0,0,5,RAIN/HAIL,ALABAMA,Alabama
67,2004,TORNADO,AL,40502.45,940.2,422,4271,41442.65,TORNADO,ALABAMA,Alabama
68,2004,TSTM WIND,AL,8181,665.6,2,48,8846.6,STORMS,ALABAMA,Alabama
69,2004,TSTM WIND/HAIL,AL,192,10,0,0,202,RAIN/HAIL,ALABAMA,Alabama
70,2005,COASTAL FLOODING,AL,15,0,0,0,15,FLOODS,ALABAMA,Alabama
71,2005,FLASH FLOOD,AL,5864.8,112,2,1,5976.8,FLOODS,ALABAMA,Alabama
72,2005,FLOOD,AL,340.45,275,0,0,615.45,FLOODS,ALABAMA,Alabama
73,2005,HAIL,AL,3154.35,323,0,0,3477.35,RAIN/HAIL,ALABAMA,Alabama
74,2005,HEAT,AL,0,0,0,24,0,HOT/DRY WEATHER,ALABAMA,Alabama
75,2005,HIGH WIND,AL,61,0,2,0,61,SURGE/SURF,ALABAMA,Alabama
76,2005,LIGHTNING,AL,1301.6,0,3,19,1301.6,LIGHTNING,ALABAMA,Alabama
77,2005,RIP CURRENT,AL,0,0,6,0,0,SURGE/SURF,ALABAMA,Alabama
78,2005,STRONG WIND,AL,30,0,1,1,30,WIND,ALABAMA,Alabama
79,2005,THUNDERSTORM WIND,AL,4147.5,0,0,3,4147.5,STORMS,ALABAMA,Alabama
80,2005,THUNDERSTORM WINDS,AL,1479,0,0,4,1479,STORMS,ALABAMA,Alabama
81,2005,TORNADO,AL,15929.5,73,27,503,16002.5,TORNADO,ALABAMA,Alabama
82,2005,TSTM WIND,AL,5382.5,106,2,26,5488.5,STORMS,ALABAMA,Alabama
83,2005,TSTM WIND/HAIL,AL,78,8,0,0,86,RAIN/HAIL,ALABAMA,Alabama
84,2006,COASTAL FLOODING,AL,3,0,0,0,3,FLOODS,ALABAMA,Alabama
85,2006,DUST DEVIL,AL,5,0,0,0,5,WIND,ALABAMA,Alabama
86,2006,EXCESSIVE HEAT,AL,0,0,4,19,0,HOT/DRY WEATHER,ALABAMA,Alabama
87,2006,FLASH FLOOD,AL,2406,0,1,4,2406,FLOODS,ALABAMA,Alabama
88,2006,FLASH FLOODING/THUNDERSTORM WI,AL,500,0,0,0,500,STORMS,ALABAMA,Alabama
89,2006,FLOOD,AL,20,0,0,0,20,FLOODS,ALABAMA,Alabama
90,2006,HAIL,AL,376,67,0,0,443,RAIN/HAIL,ALABAMA,Alabama
91,2006,HEAT,AL,0,0,3,9,0,HOT/DRY WEATHER,ALABAMA,Alabama
92,2006,HEAVY RAIN,AL,2,450,1,1,452,RAIN/HAIL,ALABAMA,Alabama
93,2006,HIGH WIND,AL,13,0,0,2,13,SURGE/SURF,ALABAMA,Alabama
94,2006,LIGHTNING,AL,3949.75,1,6,32,3950.75,LIGHTNING,ALABAMA,Alabama
95,2006,RIP CURRENT,AL,0,0,2,0,0,SURGE/SURF,ALABAMA,Alabama
96,2006,RIP CURRENTS,AL,0,0,1,0,0,SURGE/SURF,ALABAMA,Alabama
97,2006,STRONG WIND,AL,106,0,0,0,106,WIND,ALABAMA,Alabama
98,2006,THUNDERSTORM WIND,AL,5704.3,0,1,20,5704.3,STORMS,ALABAMA,Alabama
99,2006,THUNDERSTORM WINDS,AL,5544.1,1005,1,2,6549.1,STORMS,ALABAMA,Alabama
100,2006,THUNDERSTORM WINDS HAIL,AL,50,10,0,0,60,RAIN/HAIL,ALABAMA,Alabama
101,2006,THUNDERSTORM WINDS/HAIL,AL,55,0,0,0,55,RAIN/HAIL,ALABAMA,Alabama
102,2006,TORNADO,AL,6463.03,5,0,37,6468.03,TORNADO,ALABAMA,Alabama
103,2006,TROPICAL STORM,AL,1.5,0,0,0,1.5,STORMS,ALABAMA,Alabama
104,2006,TSTM WIND,AL,6259,291,2,25,6550,STORMS,ALABAMA,Alabama
105,2006,TSTM WIND/HAIL,AL,15,0,0,0,15,RAIN/HAIL,ALABAMA,Alabama
106,2007,DUST DEVIL,AL,20,0,0,0,20,WIND,ALABAMA,Alabama
107,2007,EXCESSIVE HEAT,AL,0,0,6,4,0,HOT/DRY WEATHER,ALABAMA,Alabama
108,2007,FLASH FLOOD,AL,4000,162,1,3,4162,FLOODS,ALABAMA,Alabama
109,2007,FLASH FLOODING,AL,500,50,0,0,550,FLOODS,ALABAMA,Alabama
110,2007,FLOOD,AL,518,50,0,0,568,FLOODS,ALABAMA,Alabama
111,2007,FLOODING,AL,50,5,2,0,55,FLOODS,ALABAMA,Alabama
112,2007,HAIL,AL,103,2,0,0,105,RAIN/HAIL,ALABAMA,Alabama
113,2007,HEAT,AL,0,0,2,0,0,HOT/DRY WEATHER,ALABAMA,Alabama
114,2007,HEAVY RAIN,AL,55,5,2,0,60,RAIN/HAIL,ALABAMA,Alabama
115,2007,HIGH WIND,AL,45,0,0,0,45,SURGE/SURF,ALABAMA,Alabama
116,2007,HIGH WINDS,AL,550,0,0,0,550,SURGE/SURF,ALABAMA,Alabama
117,2007,HURRICANE,AL,60.5,2.5,1,0,63,HURRICANES,ALABAMA,Alabama
118,2007,HURRICANE/TYPHOON,AL,121.5,100,0,0,221.5,STORMS,ALABAMA,Alabama
119,2007,LIGHTNING,AL,4614.3,5,10,37,4619.3,LIGHTNING,ALABAMA,Alabama
120,2007,RIP CURRENT,AL,0,0,2,0,0,SURGE/SURF,ALABAMA,Alabama
121,2007,RIP CURRENTS,AL,0,0,2,3,0,SURGE/SURF,ALABAMA,Alabama
122,2007,STRONG WIND,AL,65,0,0,3,65,WIND,ALABAMA,Alabama
123,2007,THUNDERSTORM WIND,AL,2628.25,0,0,14,2628.25,STORMS,ALABAMA,Alabama
124,2007,THUNDERSTORM WINDS,AL,934,0,3,4,934,STORMS,ALABAMA,Alabama
125,2007,THUNDERSTORM WINDS HAIL,AL,11,0,0,0,11,RAIN/HAIL,ALABAMA,Alabama
126,2007,THUNDERSTORM WINDS LIGHTNING,AL,85,0,0,0,85,STORMS,ALABAMA,Alabama
127,2007,THUNDERSTORM WINDS/HAIL,AL,5,15,0,0,20,RAIN/HAIL,ALABAMA,Alabama
